2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Mi Ayam Bakar Limau,SKU-80608366,5 x 89g,16300,16300,0.00,Supermarket Online,Shopee,Banten,Tangerang Selatan,No Promo,NULL,Goreng,Ayam Bakar Limau,Multipack,NULL,NULL,5000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-99D93B5D,40 x 90g,128200,128200,0.00,Official Store,Shopee,Jawa Tengah,Semarang,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Singapore Spicy Laksa,SKU-F04E1F5F,12 x 86g,52100,52100,0.00,Mitra Distributor,Shopee,Banten,Tangerang,No Promo,NULL,Laksa,Singapore Spicy Laksa,Multipack,NULL,NULL,289
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Singapore Spicy Laksa,SKU-F945F76C,86g,13700,13700,0.00,Toko Kelontong Digital,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Laksa,Singapore Spicy Laksa,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-7F2A6D7C,8 x 90g,118000,118000,0.00,Toko Grosir Sembako,Shopee,Banten,Tangerang,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Bakso Spesial,SKU-0F0C82BB,77g,15500,15500,0.00,Toko Kelontong Digital,Shopee,Sumatera Utara,Medan,No Promo,NULL,Kuah,Bakso Spesial,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Salero Padang,SKU-C7C7EEBA,86g,11000,11000,0.00,Toko Grosir Sembako,Shopee,Jawa Timur,Malang,No Promo,NULL,Goreng,Salero Padang,Single Pack,NULL,NULL,7000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto,SKU-ECB1DD0E,5 x 75g,43200,43200,0.00,Mitra Distributor,Shopee,Banten,Tangerang Selatan,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap 1 Ed Des,SKU-574365FB,40 pcs,138996,138996,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ayam Krispi,SKU-88846247,40 x 88g,136100,136100,0.00,Official Store,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Goreng,Ayam Krispi,Multipack,NULL,NULL,16
