brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,SEDAAP Mie Instan Ayam Bawang Bag 70GR Box isi 40 Pcs,0,121200,0,473,Shopee,Indonesia,Grosir
Wings,(10/5 PCS) SEDAAP MIE INSTAN ALL VARIAN PAKET HEMAT NOODLE FOOD,0,19900,0,4,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Goreng 72gr,0,23000,0,6,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr x12,0,52100,0,8000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr Carton (40 pcs),0,128300,0,74,Shopee,Indonesia,Grosir
Wings,SEDAAP Mie Instan Korean Spicy Chicken Bag Box Isi 40 pcs,0,128200,0,405,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Soto Bag 75 gr x5,0,16200,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Bakar Limau Bag 89 gr x 10 pcs,0,35000,0,100,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x 10 pcs,0,35000,0,642,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Mie Instan Goreng 5 x 90 gr,0,18100,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE RASA BASO SPECIAL 77 GR,0,3630,0,108,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Ayam Jerit 77 gr x 5 pcs,0,15400,0,1000,Shopee,Indonesia,Bundling
Wings,PAKET 1 KARTON MIE SEDAAP INSTANT 75gr 90gr 92 gr x 40 PRLA MIE SEDAP,0,122290,0,628,Shopee,Indonesia,Grosir
Wings,Sedaap Mi Instan Kuah White Curry 81 gr x 5,0,15400,0,4000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr,0,5600,0,10000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap All Variant 10 Rasa Instan Enak,0,4500,0,216,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Goreng Ayam Krispi Bag 88 gr x3,0,11000,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Soto 81 gr Carton (12 pcs),0,52100,0,341,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Kari Ayam 5 x 72gr,0,15400,0,6000,Shopee,Indonesia,Bundling
Wings,"20 Pcs Mie Instan SEDAAP Banyak Rasa (Variasi Pilihan) -Nikmati Kelezatan, Bumbu Otentik, Halal BPOM",0,65999,0,70,Shopee,Indonesia,Bundling
Wings,Mie sedaap soto isi 5,0,14500,0,41,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Korean Spicy Chicken 81 gr x3,0,14500,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE MIE INSTANT GORENG 5x91g,0,15700,0,10,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Korean Cheese Buldak Isi 20 Pcs | Paket Hemat Mi Sedaap Korea Pedas Keju | Mie Instan Korea Murah,0,73900,0,0,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Mie Instan Goreng Ayam Krispi 5 x 88 gr,0,16300,0,5000,Shopee,Indonesia,Bundling
Wings,Mie Sedap Laksa Singapore Spicy Kuah Pedas 85g,0,3050,0,2000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Kuah Sedap Kuah / Mie Sedaap Kuah Rasa Kari Spesial / Sedap Soto / Sedap Ayam Bawang,0,3132,0,10000,Shopee,Indonesia,Satuan
Wings,MIE SEDAAP KOREAN SPICY CHICKEN 1 DUS ISI 40PCS,0,151000,0,5,Shopee,Indonesia,Grosir
Wings,MI SEDAP REBUS,0,3499,0,241,Shopee,Indonesia,Satuan
Wings,MIE SEDAAP MI INSTAN KUAH DAN GORENG BERBAGAI RASA - MIE SEDAP JELAS TERASA SEDAPNYA,0,3500,0,1000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Instant Bisa Mix Rasa 1 Karton isi 40 Pcs - Mie Sedap Mix All Variant,0,68000,0,182,Shopee,Indonesia,Grosir
Wings,MIE SEDAAP RASA AYAM BAWANG 1 DUS ISI 40PCS,0,144000,0,8,Shopee,Indonesia,Grosir
Wings,[GROSIR] Mie Sedaap Goreng 1 Dus Isi 40 pcs Mie Instan Harga Murah & Original,0,139500,0,132,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Korean Spicy Soup 5 x 77 gr,0,15400,0,4000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE KUAH KOREAN SPICY SOUP BAG 77 GR,0,3630,0,207,Shopee,Indonesia,Satuan
Wings,[1 Dus ] Mie Sedaap Korean Spicy Chicken 87 Gram 40 Pcs - Mie Selection - Mie Sedaap Goreng Nikmat Pedas 1 Karton Seaweed Crunch,0,126990,0,5,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Ayam Jerit 77 gr x 10 pcs,0,33300,0,927,Shopee,Indonesia,Bundling
Wings,MI SEDAAP Mie Instan X 5 Pcs,0,22500,0,45,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Korean Spicy Soup 75 gr Carton (12 pcs),0,55100,0,16,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE MIE INSTAN GORENG 5X90GR,0,16900,0,5,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Cup Selection Korean Spicy Chicken ( 1 Dus Isi 12 Cup ),0,73500,0,2,Shopee,Indonesia,Grosir
Wings,Mie Sedap Isi 5 Bungkus - Banded Packaging,0,16900,0,72,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE GORENG 5X75 GR,0,15200,0,83,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Mi Instan Goreng 3 x 90 gr,0,11000,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE GORENG ALA CHEF 93GR,0,3600,0,64,Shopee,Indonesia,Satuan
